1	SuperiorCard	33332664695310	11	2006	2003-08-30 00:00:00.000
2	Distinguish	55552127249722	8	2005	2004-01-06 00:00:00.000
3	ColonialVoice	77778344838353	7	2005	2004-02-15 00:00:00.000
4	ColonialVoice	77774915718248	7	2006	2003-06-21 00:00:00.000
5	Vista	11114404600042	4	2005	2003-03-05 00:00:00.000
6	Distinguish	55557132036181	9	2006	2004-05-11 00:00:00.000
7	Distinguish	55553635401028	6	2007	2003-03-05 00:00:00.000
8	SuperiorCard	33336081193101	7	2007	2003-08-01 00:00:00.000
9	Distinguish	55553465625901	2	2005	2003-10-25 00:00:00.000
10	SuperiorCard	33332126386493	8	2008	2001-10-01 00:00:00.000
11	SuperiorCard	33335352517363	10	2008	2004-06-04 00:00:00.000
12	SuperiorCard	33334316194519	4	2008	2002-07-01 00:00:00.000
13	Vista	11119775847802	11	2005	2004-04-01 00:00:00.000
14	Distinguish	55553287727410	10	2006	2003-12-21 00:00:00.000
15	SuperiorCard	33336866065599	11	2008	2003-03-02 00:00:00.000
16	Vista	11111985451507	8	2006	2004-01-31 00:00:00.000
17	ColonialVoice	77771220960729	8	2008	2004-02-17 00:00:00.000
18	ColonialVoice	77773971683137	8	2007	2002-01-29 00:00:00.000
19	ColonialVoice	77779803886862	9	2007	2004-03-07 00:00:00.000
20	SuperiorCard	33332150058339	3	2007	2004-01-18 00:00:00.000
21	SuperiorCard	33336474467548	3	2006	2003-10-13 00:00:00.000
22	ColonialVoice	77772030376004	3	2005	2004-01-25 00:00:00.000
23	Vista	11117174633569	7	2006	2002-05-17 00:00:00.000
24	Vista	11111658051128	11	2005	2003-09-22 00:00:00.000
25	Vista	11119905436490	1	2007	2003-02-20 00:00:00.000
26	Distinguish	55554195847998	11	2008	2003-09-28 00:00:00.000
27	SuperiorCard	33333837392825	12	2008	2003-12-13 00:00:00.000
28	SuperiorCard	33337040086193	12	2006	2003-09-01 00:00:00.000
